[1012/212657.807:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[1015/090419.721:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[1016/112317.544:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1016/130247.360:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1016/200458.571:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[1016/205234.050:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1016/220754.851:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1016/233438.855:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1016/235558.973:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1017/002943.131:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1017/003653.204:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1017/083639.487:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1017/085355.901:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1017/085615.742:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1017/114707.059:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
